smile,penalized_logp
C1C2C3N=COCC1C23,-7.526609006355676
C1CC2OC3C(C=C1)C23,-6.035084599429427
C1C2C3CC1C=CCC23,-5.802166652508781
C1C2C3CC1CC=CC23,-5.816268097283072
C1C2C3OC1CC=CC23,-7.329654454816456
C1C2C3OC1OC=NC23,-9.349556372727138
C1C2C3CCOC1OC23,-7.665518162196284
C1C2C3COCC1CN23,-8.06350290736205
C1CC2C3OC(C1)OC23,-6.962942883912426
C1CC2OC3C(O2)C3O1,-7.919887140637087
C1CC23OC4C2OC34C1,-5.604274717207115
C1N2C3CC4=CCC13C24,-5.762046545594245
C1C2C3OC=NCC1C23,-7.439311711459329
C1C=CCC2OC3C1C23,-6.001744403429475
C1C=CCC2C3OC2C13,-5.58841958511816
C1N=COC2C3NC2C13,-9.347148569973331
C1N=COC2C3OC2C13,-8.602900738767051
C1C2C3OCC=CC1C23,-6.284954512110636
C1C2C3CCC=CC2C13,-5.353115902424014
C1OC2C3OC2C3C=C1,-7.6137560966830105
C1OC=NC2C3NC2C13,-9.435912280718556
C1C2C3OCCC=C1C23,-6.021930546068674
C1CN=C2OC3C(C1)C23,-6.455926636604989
C1N2C3COCC=C1C23,-7.089204103492838
C1C2C3C1COCCN23,-9.932901192245897
C1C2C3OCOCC1C23,-6.507452939642688
C1C2CCOCC3C2N13,-9.961282503216143
C1C2OCCCC3C2N13,-9.826500559971192
C1C2CC1C1OC1C=C2,-6.198730641653622
C1C2C=CC3CC12C=C3,-7.355199628986613
C1N2C=NC3CC=CC123,-4.821572472214363
C1C2C=CC3OCC12O3,-5.163551571936871
C1CC23CC1C=CC2O3,-7.455877962660443
C1OC2CC11NC1C=C2,-9.489351315825639
C1CC2C=CC3OC2C13,-3.535975592864278
C1OCC23OC2C=CC13,-4.293605792428274
C1C2C=CC=CC=CC12,-7.896264460568071
N1C2C=CC=CC=CC12,-9.318496845090973
C1C2CC11OC1C=CC2,-7.010564698959332
C1C2N=COC3CC12C3,-8.197081294713675
C1C2C=CCCC=CC12,-7.742985031671857
C1C2C=CCOC=NC12,-10.332105207424895
C1CC=CC2NC2C=C1,-9.277327593628069
C1C2CC1C=CC=CC2,-7.826951951119262
C1C2CC=CC=CC1O2,-9.46342944569238
C1C2CC1C=CCC=C2,-8.000971758905031
C1C2CC1C=CCCC2,-7.163889155249162
C1C2CC1C=CCCO2,-8.599412907344025
C1C2CC1C=CCOC2,-8.77575142404652
C1C2CC1N=COCC2,-9.743116170794059
C1C2CC1N=COCO2,-10.659168822944515
C1C2CCCC=CC1O2,-8.973440871399864
C1C2CN1CCOC=N2,-10.817397544003494
C1C2CC1CC=CCC2,-7.225058360365033
C1C2CC1CN=COC2,-9.873580978207652
C1C2CC1OC=NCC2,-9.624202316018984
C1C2CC1OCC=CC2,-8.67853547222338
C1C2CCC=CCC1O2,-8.838343436453648
C1C2CN1CC=CCO2,-10.036115751223793
C1C2CN1CCN=CO2,-10.799584744352039
C1C2CC1COCCC2,-7.560063769549185
C1C2CC1OCCCC2,-7.476098802832612
C1C2CC1OCCCO2,-8.620420337382969
C1C2CC1OCCOC2,-8.944097796970055
C1C2CC1OCOCC2,-8.720972136851154
C1C2CCCCCC1O2,-7.900734796314273
C1C2CCCOCC1O2,-9.298089555966008
C1C2CCOCCC1O2,-9.06858044940947
C1C2CN1CCOCO2,-9.831089949531549
C1C2CC3=CC1N1C2C31,-7.517562614664927
C1C2OC3=NC1C1C2C31,-8.018281705392784
C1C2CC3N=COC2C13,-4.923086613005395
C1C2OC3C2CC=CC13,-7.142465773639392
C1C2CC3OC3C1C=C2,-3.0978946313752815
C1C2CC3CC12C=CC3,-6.902012247661238
C1C2CC3CC=CC12O3,-4.112331737715909
C1C2OC3CC12C=CC3,-7.823253822329955
C1C2CC3CC12CC=C3,-6.937776514010698
C1C2OC3CC12CC=C3,-7.807928037455277
C1C2CC3CC12OCC3,-7.061280425066568
C1C2CC3COCC12O3,-4.880189172289834
C1C2CC3OC12CCO3,-8.186022249604186
C1C2NC22CC1COC2,-9.016962038386149
C1C2OC22CC1CCC2,-6.957057764628733
C1C2OC22CC1COC2,-8.300284339591148
C1C2OC3CC12CCC3,-6.9691904213019
C1C2OC3CC12CCO3,-8.135485920033492
C1C2OC3CC12COC3,-8.39440471575045
C1C2OC3COCC12O3,-5.540001686747306
C1N2CC3CC12CCO3,-8.322418085823166
C1C2OC3COC1OC23,-4.459573323907524
C1C2CC3OC3C=CC12,-5.707798187469029
C1C2CC3CC4C(C12)C34,-1.8074650264232983
C1C2CC3OC=NC2C13,-4.9436235338852335
C1C2OC3C2C=CCC13,-7.156567218413684
C1OC2CC1C1OC1C2,-7.438114595149273
C1OC2CC3OC3C1O2,-4.453310116760827
C1C2OC3C2OCCC13,-7.2086902558782215
C1C2CC=CC3CC12O3,-7.397672351556407
C1C2CC=CC3OC2C13,-7.03678491984881
C1C2OC=NC3CC2C13,-8.672197034318408
C1C2OC=NC3CC3C12,-7.511092554799053
C1C2CC=CC=CCC12,-7.681411183809242
C1C2CN=COC1C=C2,-7.70509165223983
C1C=CCC2OC1C=C2,-9.65384864311422
C1N=COC2OC1C=C2,-11.975153502252997
C1C2CC=CCC=CC12,-8.011373917094607
C1C2OC=NCC=CC12,-10.453314877363082
C1C=CCC2NC2C=C1,-9.597341794539943
C1OCC11OCC2OC12,-3.8821504749971427
C1C2CCC3=C2C1CC3,-7.908455661010041
C1C2CCC3=C2C1OC3,-9.359534968802441
C1C2OCC3=C2C1OC3,-10.569259312785634
C1C2COC3C4OC23C14,-5.530773861596403
C1C2OCC3N4CC23C14,-6.019298265958664
C1CC2C3NC22C1OC32,-9.277960536922771
C1CC2C3OC22C1NC32,-9.36907851122786
C1CC2C3OC22C1OC32,-8.703090953573952
C1OC2C3NC22C1NC32,-11.095365548452557
C1OC2C3NC22C1OC32,-10.38686447274003
C1OC2C3OC22C1NC32,-10.574237727801576
C1C2CCC3OC13C=C2,-3.844515031335049
C1C2COC3CC12C=C3,-7.953163015024627
C1C2COC3OC12C=C3,-8.586163096529933
C1C2OCC3NC13C=C2,-5.897694722899923
C1C2CCC3OCC12O3,-4.574690080592873
C1C2NCC3OCC12O3,-6.175245387709618
C1CC23CC1CCC2O3,-6.778039554071327
C1CC23CC1OCC2N3,-8.787266051278632
C1CC23CC1OCC2O3,-8.034977897704573
C1N2CCC3CC12CO3,-8.346523435136287
C1OC2CC11NC1CC2,-8.623296764769186
C1OC2CC11NC1CO2,-9.84840980802182
C1OC2CC11OC1CC2,-7.989228184204732
C1C2CCC=CC1C=C2,-5.699181884204703
C1C2OCC=CC1C=C2,-6.981554509119327
C1CC2OC(C=C2)C=C1,-10.025808087581657
C1C2CCC=CC=CC12,-7.6754802096546095
C1C2OCC=CC=CC12,-9.021733855987854
C1CC2NC2C=CC=C1,-9.200138795138423
C1C2CCC=CCCC12,-7.012727639890347
C1C2CCC=CCOC12,-8.392450683942679
C1C2CCN=COCC12,-9.70695027826391
C1C2COC=NCCN12,-10.370085896723115
C1C2OCC=CCOC12,-9.44581633791983
C1CC2OC2CCC=C1,-7.856749653755337
C1CC2OC2COC=N1,-10.472688355258006
C1C2CC11NC1CCO2,-8.03469974107879
C1C2COCC3CC12C3,-6.67665428501766
C1CC2OC3C(C1)OC23,-6.778110205365204
C1CC2OC2C2OC2C1,-5.617005725845852
C1OC2COCC3OC123,-4.635386779270499
C1C2CCCC=CCC12,-7.035282568573836
C1C2CCCN=COC12,-9.49390900799933
C1C2CCOC=NCC12,-9.693500994548117
C1C2CN=COCCN12,-10.30522663371675
C1C2CN=COCOC12,-10.588817480676772
C1C2COCC=CCC12,-8.586843839411937
C1C2COCC=CCN12,-9.31215009462691
C1C2NCCN=COC12,-10.93838248593675
C1C2OCCN=COC12,-10.64512343060228
C1CC2NC2CN=CO1,-11.048333148921643
C1CC=CCC2OC2C1,-7.838046166794671
C1OCC2NC2CC=C1,-10.05773605234665
C1C2OCCOC1C=C2,-7.137801827281995
C1CC2OC(CO1)C=C2,-10.414698422540711
C1CCC2OC(C1)C=C2,-9.26887976949275
C1COC2OC(C1)C=C2,-10.318598402786607
C1C2CCCCC=CC12,-7.050485304192192
C1C2CCCOC=NC12,-9.536471745760476
C1C2CCOCC=CC12,-8.481747469588878
C1C2COCCC=CC12,-8.551596379939024
C1C2COCOC=NC12,-10.567671465978147
C1C2NCCOC=NC12,-11.089819205689988
C1C2OCCCC=CC12,-8.318676502315919
C1C2OCCOC=NC12,-10.48262458270586
C1C2OCOCC=CC12,-9.558260138111805
C1CC2NC2C=CCO1,-10.064472999130182
C1CC2OC2C=CCO1,-9.181518840269728
C1CC=CC2NC2CO1,-10.018052667183394
C1CC=CC2OC2CO1,-9.06844887863712
C1C2CCCOCCN12,-7.717693165857556
C1C2CCCOCOC12,-8.426702206693312
C1C2CCOCCOC12,-8.45421457097455
C1C2CCOCOCC12,-8.597802137941162
C1C2COCCCCN12,-8.023107572507044
C1C2COCCCOC12,-8.557163731274823
C1C2COCCOCC12,-8.785641530744773
C1C2COCOCCN12,-9.1011890593827
C1C2OCCCCOC12,-8.221270083500182
C1C2OCCOCOC12,-9.376411167146347
C1CC2NC2COCO1,-10.016090793799
C1CC2OC2COCO1,-9.279903635414435
C1CCC2NC2COC1,-8.81133625000454
C1CCCC2OC2CC1,-6.783209446691806
C1COCC2NC2CO1,-10.126187666459524
C1COCC2OC2CO1,-9.28591314215372
O1C=NC2C3C4C3C2C14,-4.8666980683739
C1OC2OC=NC2C=C1,-4.028241306099627
C1C=CC2CC1CC=C2,-8.66397795291428
C1C=CC2CC1OC=N2,-11.21737538204157
C1C=CC2OC1CC=C2,-9.254253942858622
C1COC2OC=NC2C1,-2.868455875281286
C1C=CC=CC#CC=C1,-13.431309359730546
C1C=CC=CC=CC#C1,-13.240355371310084
C1C=CC=CC=CC=C1,-10.939513496599016
C1C=CCC#CCC=C1,-13.196897403679625
C1N=COC11CN=CO1,-4.943858641570266
C1C=CCC=CCC=C1,-10.839527995126456
C1CC#CC=CCC=C1,-13.081071138705443
C1C=CC#CCOC=N1,-15.202081121437109
C1NC11C2CN3C2CC13,-6.675498254410213
C1CC11CCN=COC1,-6.108494866926646
C1CC11COCC=CC1,-4.946333505129029
C1C2C3CC4(COC24)N13,-6.343404853781099
C1CC23OCC4C2OC134,-6.033316652016129
C1CC2C3C4C(N24)C3=C1,-7.096820292529356
C1OC2C3C4C3C2C4O1,-3.7211115386081333
C1OC2CC=CC1C=C2,-6.920491315670442
C1OC2COCC=CC12,-6.354022679278199
C1CC2CC1C=CC=C2,-8.830646563418604
C1CC2OC1C=CC=C2,-9.751906595475766
C1OC2CC1C=CC=C2,-10.263545343589698
C1OC2OC1C=CC=C2,-10.89809584572464
C1CC2CC1CC=CC2,-8.136171895375
C1CC2CC=CCC1O2,-5.5174744795493655
C1CC2OC1CN=CO2,-11.44258704567548
C1OC2CC1CC=CC2,-9.477731212579629
C1OC2CC1CN=CO2,-11.742058113579352
C1OC2CC=CCC1O2,-6.91051284290214
C1CC2CC1CCC=C2,-8.297458708096666
C1CC2CC1COC=N2,-10.788865469405856
C1CC2CC1OCC=C2,-9.63431139124705
C1CC2OC1CCC=C2,-9.148820610101154
C1CC2OC1OCC=C2,-10.609862144959274
C1OC2CC1C=CCC2,-9.778851200183542
C1OC2CC1C=CCO2,-10.962022904419445
C1OC2CC1CCC=C2,-9.751706534239313
C1OC2CC1N=COC2,-11.97534580887017
C1OC2CCC=CC1O2,-6.954373750317465
C1CC2CC1CCCC2,-7.122396712106177
C1CC2CC1CCCO2,-8.439358482972402
C1CC2CC1CCOC2,-8.565367014241726
C1CC2CC1COCO2,-9.736412273932626
C1CC2COCCC1O2,-5.964948565442452
C1CC2OC1CCCO2,-9.53535600123363
C1OC2CC1CCCC2,-8.703539083829
C1OC2CC1CCCO2,-9.885418770873542
C1OC2CC1CCOC2,-10.100236713125348
C1OC2CC1COCC2,-10.007623690355969
C1OC2CC1OCCC2,-9.709524621660067
C1OC2CC1OCCO2,-10.92522439680421
C1OC2C3CC1C=CC23,-7.162275645103676
C1OC2CC3C1C3C=C2,-7.116987366315035
C1OC2CN3C1C3C=C2,-8.280594741113347
C1OC2OC3CC1C2C3,-3.9183386150695863
C1CC2CC(C1)N=CO2,-10.652674612176037
C1CC2CC(CC=C2)O1,-9.667171695147353
C1CC2CC=CC(O1)O2,-3.419935061580627
C1OC2CC=CC(C2)O1,-3.5114960132084696
C1OCC2CC1CC=C2,-9.807441635224182
C1OCC2CC1OC=N2,-11.831402788826828
C1CC2COC1CC=C2,-6.14215857944464
C1OC2C3CC1COC23,-7.230701709892724
C1OC2CC3C1C3CO2,-7.166600589579332
C1OCC2N=COCC12,-3.8401620384187622
C1CC2CC(C1)OCO2,-9.622074964625272
C1OC2COCOCC12,-6.313970908599897
C1CC=CC#CC=CC1,-12.881269908755561
C1OCC=CC#CC=C1,-14.292671924182171
C1CC=CC#CCC=C1,-12.898158419185506
C1OC=NCC#CC=C1,-15.163031439943902
C1CC=CC=CC#CC1,-12.765517473335173
C1OCC#CC=CC=C1,-14.07136168422752
C1CC=CC=CC=CC1,-10.472095468780214
C1OCC=CC=CC=C1,-11.96539906921353
C1CC=CC=CCC=C1,-10.726752057197631
C1OC=NCC=CC=C1,-13.237182173868565
C1CC#CCCN=CO1,-14.65143257664334
C1CC#CCOCC=C1,-13.74837887347734
C1CC=CCCC#CC1,-12.463896013482174
C1CN=COCC#CC1,-14.617464829436157
C1CC=CCCC=CC1,-10.159565692354429
C1CC=CCCN=CO1,-12.629844836688093
C1CC=CCOC=NC1,-12.71091583921464
C1CC=CCOCC=C1,-11.613641189872876
C1OC=NCCN=CO1,-14.771011737036954
C1CC#CCC=CCO1,-13.649342679528047
C1CC=CCC#CCO1,-13.625120433421422
C1CCC#CCC=CC1,-12.262815071266562
C1COC=NCC#CC1,-14.652207786958158
C1COC2(C1)CCOC2,-1.8753879802019213
C1CC=CC#CCCO1,-13.335450179118101
C1CCC=CC#CCC1,-12.021127874465293
C1COCC#CC=CC1,-13.34520798514429
C1COCC=CC#CC1,-13.467555860703438
C1OCC=CC#CCO1,-14.462099207463332
C1CC=CC=CCCO1,-11.184230047629548
C1CCC=CC=CCC1,-9.78744013139096
C1COCC=CC=CC1,-11.236076851780053
C1OCC=CC=CCO1,-12.410044471643207
C1CC=CCC=CCO1,-11.618218622207985
C1CCC=CCC=CC1,-10.149223402360722
C1COC=NCC=CC1,-12.641743699774254
C1OCC=CCN=CO1,-13.736867508650256
C1CC#CCCOCO1,-13.819655917454712
C1CCC#CCCOC1,-12.581099742949101
C1CCCC#CCCC1,-11.307709773411197
C1CCOCC#CCC1,-12.629082800451151
C1COCC#CCCO1,-13.772618889794373
C1COCC#CCOC1,-13.880588459752511
C1COCCCC#CC1,-12.702038704523384
C1COCOCC#CC1,-13.813792620391055
C1CC=CCCOCO1,-11.77800499625646
C1CCC=CCCOC1,-10.456981210165067
C1CCCC=CCCC1,-9.101123629041385
C1CCCN=COCC1,-11.612347413415586
C1CCN=COCOC1,-12.71425123631483
C1CCOCC=CCC1,-10.529186513773745
C1COCC=CCCO1,-11.755190214702747
C1COCC=CCOC1,-11.88738203076751
C1COCCCC=CC1,-10.417968443448755
C1COCCN=COC1,-12.996980063129739
C1COCCOC=NC1,-12.755711233799959
C1CCCCCCCC1,-7.121672892715232
C1CCCCOCCC1,-9.346926136288525
C1CCCOCOCC1,-10.627017587265012
C1CCOCCCOC1,-10.591984014558706
C1CCOCCOCC1,-10.53199750210262
C1COCCOCCO1,-11.250442772610741
O=C1C2CC1C=CCO2,-7.167328766344925
O=C1C2CC1CC=CC2,-5.687534968057474
O=C1C=CNCC2CN12,-6.896827888334943
O=C1C=CCCCC=C1,-7.283261001325292
O=C1C=CCCNC=C1,-8.81202224327678
O=C1CC23CN4C2CC134,-6.567867257518289
N=C1OC2C3N=CN1C23,-5.1196426568926725
O=C1OC2C3NC(=C1)C23,-4.295292439531387
N=C1CC2CC(O1)C=C2,-7.110868351249126
O=C1CC2OC(O1)C=C2,-7.606365861479215
N=C1OC2CC1C=CC2,-7.144558054463662
O=C1CC2CC1C=CC2,-6.114307413652289
O=C1OC2CC1C=CC2,-6.75742427372578
N=C1OC2CC1CC=C2,-6.9108640900263145
O=C1CC2CC1CC=C2,-6.004874977343052
N=C1CC=CC2CC2O1,-6.363417426140545
O=C1CC=CC=CC=C1,-7.448332098474758
O=C1OC=NCC1C#C,-4.062122815616007
O=C1NC=NCC2CN12,-6.979891248012156
O=C1OC=NCC2CN12,-6.948487635856204
O=C1CC=CCC=CC1,-7.724491971170912
O=C1CC=CCC=CN1,-8.624937473700875
O=C1CC=CCN=CO1,-9.68808506992502
O=C1CN=CNC=NC1,-10.667876541240707
O=C1NC=CCC=CN1,-9.102917926541853
O=C1NC=CCN=CN1,-10.133150105477469
O=C1CC=CCCC=C1,-7.311807482258832
O=C1CC=CCNC=C1,-8.880954200034157
O=C1CN=COCC=C1,-9.891251194136046
O=C1NC=CCCC=C1,-8.449518453890832
O=C1NC=CCNC=C1,-9.952780813701374
O=C1OCC2N3CC12C3,-4.72882756235572
N=C1OCC2CC1C=C2,-7.269828526828249
N=C1OCC2NC1C=C2,-8.721601488295844
O=C1COC2CC1C=C2,-7.135856079442819
O=C1NCC2CC1C=C2,-7.270980482683572
O=C1OCC2CC1C=C2,-6.856556954349294
N=C1OCC2CC2CO1,-6.574634306901352
O=C1NCC2CC2CO1,-5.835182566781958
O=C1OCC=CC2OC12,-6.557227472755697
N=C1CC=CC=CCO1,-8.584038212089443
O=C1CC=CC=CCN1,-8.563505576116555
O=C1CCC=CC=CC1,-7.287292520902075
O=C1CCC=CC=CN1,-8.065578507888329
O=C1NC=CC=CCO1,-8.62435352391873
O=C1CCC=CCC=C1,-7.387256316937472
O=C1COC=NCC=C1,-9.711602592773186
O=C1NCC=CCC=C1,-8.636322103242685
O=C1CCOC2CC1C2,-5.613748363195764
O=C1CCCC=CC=C1,-6.958924931918356
O=C1CNCC=CC=C1,-8.891444356135796
O=C1COCC=CC=C1,-8.40205117532297
O=C1OCCC=CC=C1,-7.7532328268334645
N=C1CCC=CCCO1,-8.014339276085458
N=C1CCCC=CCO1,-8.090056452796151
N=C1CCN=COCO1,-10.062754013352023
N=C1CNCC=CCO1,-9.820194872078318
N=C1COC=NCCO1,-10.349010331059175
N=C1COCC=CCO1,-9.363149684319772
O=C1CCC=CCCO1,-7.342513766628331
O=C1CCC=CCNC1,-8.594099804472663
O=C1CCCC=CCO1,-7.465305802676159
O=C1CCCN=COC1,-9.185573127937678
O=C1CCN=COCO1,-9.59891274602326
O=C1CCOC=NCC1,-9.162131534709129
O=C1CNCC=CCO1,-9.438050975317406
O=C1COC=NCCN1,-10.024254499891256
O=C1COC=NCCO1,-9.886664112194698
O=C1COCC=CCN1,-9.291664007736998
O=C1COCC=CCO1,-8.939265823382758
O=C1NCC=CCCO1,-8.415471655956367
O=C1NCCC=CCN1,-8.84368285346132
O=C1NCCC=CCO1,-8.432345258495642
O=C1OCOCC2OC12,-6.783759549563197
N=C1CC=CCCCO1,-7.999874362738651
N=C1CC=CCOCO1,-9.079851518061194
N=C1CN=COCCO1,-10.092992865193494
N=C1COCCN=CN1,-10.572061266868317
N=C1NC=NCCCO1,-9.984348232534668
O=C1CC=CCCCO1,-7.430894131613481
O=C1CCCCC=CN1,-7.7087131378776474
O=C1CCCCN=CO1,-8.719808768979693
O=C1CCCOC=NC1,-9.297171467791333
O=C1CCOCC=CC1,-8.12800765677636
O=C1CCOCC=CN1,-9.223013910736075
O=C1CN=COCCN1,-10.298825900544538
O=C1CN=COCCO1,-9.772752919588594
O=C1CNCCN=CO1,-10.412558198462605
O=C1COCCC=CC1,-8.235280578637177
O=C1COCCC=CN1,-9.095902845791409
O=C1COCCN=CN1,-10.187610906450956
O=C1COCCN=CO1,-10.235432084710377
O=C1COCOC=NC1,-10.274220286533904
O=C1NC=CCCCO1,-8.147411483660747
O=C1NC=CCOCO1,-9.415764745483845
O=C1NC=NCCCO1,-9.135565076332199
O=C1NCCCC=CN1,-8.625387349919357
O=C1NCCCN=CO1,-9.50057413088303
O=C1OCCCOC1=O,-5.028975878925072
N=C1OCCOCC=C1,-8.987994745318975
O=C1CCCCCC=C1,-6.352047846283157
O=C1CCOCCC=C1,-7.772991148371469
O=C1COCCCC=C1,-7.773451163283559
O=C1COCCNC=C1,-9.32871437544819
O=C1NCCCCC=C1,-7.63222853011441
O=C1NCCCNC=C1,-9.307217012246271
O=C1OCCCCC=C1,-7.169816501714819
O=C1OCCCNC=C1,-8.961393207677308
O=C1OCCOCC=C1,-8.438149856717517
N=C1CCCCCCO1,-7.04554545836403
N=C1CCCCOCO1,-8.132563397479942
N=C1CCCOCCO1,-8.224693422285421
N=C1CCOCCCO1,-8.24642273778564
N=C1CNCCOCO1,-9.66296589757135
N=C1COCCCCO1,-8.316287502559195
N=C1COCCOCO1,-9.268457181472938
N=C1COCOCCO1,-9.250880778373528
N=C1OCCCCCO1,-7.892876460993429
N=C1OCCCOCO1,-8.907339825919259
O=C1CCCOCCC1,-6.921437242272792
O=C1CCCOCCO1,-7.530991648120051
O=C1CCCOCOC1,-8.244442831290495
O=C1CCOCCCO1,-7.663910401329844
O=C1CCOCCNC1,-8.6378710506323
O=C1CCOCCOC1,-8.301068649617086
O=C1CCOCOCC1,-8.175696158317153
O=C1CNCCCCO1,-8.215066973186655
O=C1CNCCCOC1,-8.89949175369107
O=C1CNCCOCO1,-9.311304377832354
O=C1COCCCCO1,-7.823452517576802
O=C1COCCCOC1,-8.369278638526323
O=C1COCCOCO1,-8.875055697557842
O=C1COCOCCN1,-9.121318219139486
O=C1NCCCCCO1,-7.297741621350039
O=C1NCCCOCO1,-8.569481104053795
O=C1NCCOCCN1,-8.958219726930693
O=C1OCCCCCO1,-6.9712831667608315
O=C1OCCCOCO1,-8.091275230339143
O=CC1C2CC(C2)C1=O,-3.1381473193032137
O=CC1C2CCC1C2=O,-3.2661571214798744
[NH3+]C1(C2CC1C2)C([O-])=O,-5.869547261323927
[NH3+]C1(C2CC1O2)C([O-])=O,-7.467039653751296
[NH3+]C1(C2CCC12)C([O-])=O,-5.554868121122784
[NH3+]C1(C2COC12)C([O-])=O,-7.072387488152891
CC1(CC=CC1)C(N)=O,-1.3380923681454513
NC(=O)C1(O)COC1=O,-4.1950942641254745
NC(=[NH2+])C1(CC1)C([O-])=O,-5.858666259204165
NC(=O)C12C3CN1CC23,-4.51816838184253
NC(=O)C12CC(O1)C=C2,-4.445155148628071
[NH3+]C12CC1(CC2)C([O-])=O,-6.426189622105923
NC(=O)C12CN1C=NC2,-4.547945787941538
[O-]C(=O)C12CC1[NH+]=CN2,-8.626738558010558
NC(=O)C12OC1CC2=O,-4.258922703814834
NC(=O)C12OC1CC=C2,-3.9057838761481354
[O-]C(=O)C12CC1[NH2+]CC2,-7.354813616526222
